Summer,Wexford,Islay
1982,18.8,12.9
1983,12.3,9.9
1984,18.6,12.1
1985,34.4,27.3
1986,16.6,10.1
1987,18.5,17.7
1988,22.1,18.2
1989,15.9,18.7
1990,16.6,19.0
1991,15.9,16.7
1992,7.1,6.7
1993,15.3,15.6
1994,14.3,13.2
1995,14.8,19.7
1996,6.4,6.2
1997,11.6,14.2
1998,10.8,19.0
1999,5.5,10.4
2000,6.2,8.2
2001,6.5,7.9
2002,9.4,10.8
2003,11.7,8.7
2004,11.8,8.1
2005,7.1,8.9
2006,10.5,10.0
2007,7.1,10.3
2008,11.3,11.0
2009,9.1,14.7
2010,14.7,22.9
2011,7.1,9.9
2012,5.0,11.1
2013,6.8,17.0
2014,5.8,14.7
2015,5.8,16.1
2016,12.2,18.4
2017,5.3,9.2
2018,7.0,12.3
2019,10.8,20.7
