"Tag_year","breeding_lat","breeding_long"
"17700_2019",72.273819,-54.4183255
"17706_2019",67.163887,-52.025051
"17739_2019",72.235229,-54.44556
"17739_2020",72.2490805,-54.298555
"17739_2021",72.247955,-54.371622
"17758_2019",69.413696,-50.530886
"17759_2020",67.255051,-50.079834
"17759_2021",67.255348,-50.077591
"17760_2019",67.63472,-50.45068
"17760_2020",67.629089,-50.483755
"17760_2021",67.627792,-50.470203
"17761_2020",67.085396,-52.529934
"17762_2018",71.513863,-54.111973
"17762_2019",71.463821,-53.928429
"17763_2018",68.812309,-50.412754
"17764_2019",67.446716,-50.588791
"17764_2020",67.4375,-50.610647
"17765_2019",66.619118,-50.7069055
"17765_2021",66.601189,-50.672718
"17766_2018",70.078445,-53.569508
"17766_2019",70.087143,-53.587635
"17766_2020",70.084106,-53.579948
"17768_2018",67.573029,-53.431465
"17771_2019",71.817017,-54.328999
"17776_2019",66.999153,-50.052155
"17777_2018",70.190079,-52.210148
"17777_2019",70.222404,-52.169075
"17777_2020",70.30751,-52.195213
"17777_2021",70.230682,-52.228313
"17778_2018",70.183296,-51.29784
"17779_2019",66.568115,-51.514656
"17779_2020",66.571419,-51.533981
"17779_2021",66.570442,-51.519363
"17780_2018",68.788055,-50.544445
"17782_2019",66.616745,-50.299957
"17786_2019",67.136108,-50.348766
"17786_2020",67.111916,-50.386459
"17790_2019",67.143837,-50.512074
"17790_2020",67.156654,-50.519455
"17791_2019",67.334129,-50.571949
"17795_2020",67.282852,-51.775749
"17795_2021",67.301262,-51.766357
"17796_2019",67.142845,-50.549164
"17799_2020",71.582512,-54.368252
"17799_2021",71.578991,-54.362465
"17801_2020",67.270897,-51.794582
"17801_2021",67.270859,-51.796234
"17806_2019",67.143173,-50.558762
"17807_2020",66.594711,-50.190742
"17809.1_2020",67.563454,-50.669117
"17809.2_2021",67.390015,-50.232861
"17813_2018",70.3517,-52.805424
"17813_2021",70.320038,-52.927692
"17814_2018",71.757744,-54.063049
"17824_2019",67.748207,-50.604286
"17824_2020",67.748741,-50.602409
"190291_2020",67.023727,-52.013351
"190291_2021",67.026146,-51.982727
"190292_2020",67.259727,-52.032429
"190294_2020",67.601517,-50.800209
"190295.2_2020",67.230148,-51.930695
"190839_2021",67.512367,-51.925819
"190842_2020",67.587914,-51.83033
"190842_2021",67.588707,-51.832504
"190845_2021",72.457962,-54.508553
"193089_2021",68.548668,-50.736195
"UCOL31_2020",67.402917,-53.2672
"WHIT12_2019",67.44185,-51.801683
"WHIT15_2017",67.435917,-52.18375
"WHIT16_2019",68.217983,-50.687917
"WHIT16_2020",68.214283,-50.69235
"WHIT17_2018",68.145017,-50.612717
"WHIT17_2020",68.140567,-50.613867
"WHIT19_2019",67.629217,-50.951367
"WHIT20_2018",67.383783,-53.4563
"WHIT21_2018",67.701283,-53.371583
"WHIT21_2019",67.7012,-53.3677415
"WHIT25_2019",68.601383,-50.561217
