"","Tag_year","attempt_start","attempt_end","length","Green_dep","UK_dep","Ice_arrive_spring","year","ID","Green_arrive","pre_breed_length","Ice_dep_spring"
"1","BLO19_2014",2014-06-04,2014-06-09,6,"2014-09-11","2014-04-14","2014-04-15","2014","BLO19",2014-05-06,29,"2014-05-05"
"2","BLO19_2015",2015-06-11,2015-07-02,22,"2015-09-14","2015-04-08","2015-04-09","2015","BLO19",2015-05-11,31,"2015-05-10"
"3","BLO27_2014",2014-05-30,2014-06-02,4,"2014-09-08","2014-04-11","2014-04-12","2014","BLO27",2014-05-05,25,"2014-05-02"
"4","BLO28_2015",2015-06-12,2015-06-13,2,"2015-09-13","2015-04-10","2015-04-15","2015","BLO28",2015-05-12,31,"2015-05-09"
"5","HAR03_2015",2015-06-09,2015-06-15,7,"2015-09-15","2015-04-16","2015-04-17","2015","HAR03",2015-05-12,28,"2015-05-10"
"6","HAR04_2015",2015-06-08,2015-06-22,15,"2015-09-20","2015-04-02","2015-04-02","2015","HAR04",2015-05-08,31,"2015-05-06"
"7","HAR25_2017",2017-06-07,2017-06-30,24,"2017-09-21","2017-04-03","2017-04-07","2017","HAR25",2017-05-07,31,"2017-05-04"
"8","WHIT01_2018",2018-06-02,2018-06-08,7,"2018-09-09","2018-04-14","2018-04-15","2018","WHIT01",2018-05-19,14,NA
"9","WHIT02_2018",2018-06-10,2018-06-14,5,"2018-09-19","2018-04-10","2018-04-10","2018","WHIT02",2018-05-09,32,"2018-05-07"
"10","WHIT03_2017",2017-05-27,2017-06-02,7,"2017-09-06","2017-04-03","2017-04-04","2017","WHIT03",2017-05-05,22,"2017-05-01"
"11","WHIT07_2017",2017-06-09,2017-07-02,24,"2017-09-13","2017-04-08","2017-04-11","2017","WHIT07",2017-05-06,34,"2017-05-03"
"12","WHIT09_2018",2018-06-11,2018-06-16,6,"2018-09-14","2018-04-12","2018-04-13","2018","WHIT09",2018-05-11,31,"2018-05-09"
"13","WHIT10_2018",2018-06-11,2018-06-17,7,"2018-09-13","2018-03-29","2018-03-30","2018","WHIT10",2018-05-09,33,"2018-05-07"
"14","WHIT10_2019",2019-05-26,2019-06-19,25,"2019-09-10","2019-04-07","2019-04-07","2019","WHIT10",2019-05-06,20,"2019-05-05"
"15","WHIT16_2018",2018-06-04,2018-06-06,3,"2018-09-18","2018-04-13","2018-04-13","2018","WHIT16",2018-05-10,25,"2018-05-08"
"16","WHIT18_2018",2018-06-09,2018-06-11,3,"2018-09-09","2018-04-15","2018-04-15","2018","WHIT18",2018-05-10,30,"2018-05-09"
"17","WHIT22_2019",2019-05-25,2019-06-20,27,"2019-09-07","2019-04-08","2019-04-09","2019","WHIT22",2019-05-08,17,"2019-05-05"
"18","BLO21_2014",NA,NA,0,"2014-09-11","2014-04-15","2014-04-16","2014","BLO21",2014-05-07,NA,"2014-05-05"
"19","BLO21_2015",NA,NA,0,"2015-09-14","2015-04-17","2015-04-17","2015","BLO21",2015-05-11,NA,"2015-05-10"
"20","HAR26_2017",NA,NA,0,"2017-09-05","2017-04-09","2017-04-09","2017","HAR26",2017-05-10,NA,"2017-05-06"
"21","WHIT19_2018",NA,NA,0,"2018-09-14","2018-04-18","2018-04-19","2018","WHIT19",2018-05-10,NA,"2018-05-09"
