"Tag_year","breeding_lat","breeding_long"
"17674_2019",67.493698,-51.666172
"17700_2019",72.273819,-54.4183255
"17706_2019",67.163887,-52.025051
"17739_2019",72.235229,-54.44556
"17739_2020",72.249077,-54.298559
"17758_2019",69.413696,-50.530888
"17759_2020",67.255051,-50.07983
"17760_2019",67.63472,-50.450684
"17760_2020",67.629082,-50.483768
"17761_2020",67.085403,-52.529903
"17762_2018",71.513863,-54.111973
"17762_2019",71.463821,-53.928429
"17763_2018",68.812309,-50.412754
"17764_2019",67.446716,-50.588791
"17764_2020",67.4375,-50.610645
"17765_2019",66.619125,-50.706928
"17766_2018",70.078445,-53.569508
"17766_2019",70.087143,-53.587635
"17766_2020",70.084106,-53.579948
"17768_2018",67.573021,-53.431461
"17771_2019",71.817017,-54.328999
"17776_2019",66.999153,-50.052155
"17777_2018",70.190079,-52.210148
"17777_2019",70.222389,-52.16901
"17777_2020",70.30751,-52.1952115
"17778_2018",70.183296,-51.29784
"17779_2019",66.568115,-51.514652
"17779_2020",66.571419,-51.5339795
"17780_2018",68.788055,-50.544445
"17782_2019",66.616745,-50.299957
"17786_2019",67.136108,-50.348763
"17786_2020",67.111916,-50.386459
"17790_2019",67.143837,-50.512074
"17790_2020",67.156654,-50.519455
"17791_2019",67.334129,-50.571947
"17795_2020",67.282852,-51.775749
"17796_2019",67.142845,-50.549164
"17799_2020",71.582512,-54.368254
"17801_2020",67.270897,-51.794582
"17806_2019",67.143173,-50.558762
"17807_2019",66.597,-50.189571
"17807_2020",66.594711,-50.190746
"17809_2020",67.563454,-50.669117
"17810_2019",67.720665,-50.791908
"17813_2018",70.3517,-52.805428
"17813_2020",70.362762,-52.843857
"17814_2018",71.757744,-54.063046
"17824_2019",67.748207,-50.604286
"17824_2020",67.748741,-50.602409
"190291_2020",67.023727,-52.013351
"190292_2020",67.259727,-52.032429
"190294_2020",67.601517,-50.800209
"190295.2_2020",67.230148,-51.930695
"190842_2020",67.587914,-51.83033
"BLO19_2014",67.67858,-50.33132
"BLO19_2015",67.6929,-50.35
"BLO27_2014",67.41065,-52.68745
"BLO28_2015",67.30575,-50.4361
"HAR03_2015",66.82892,-51.8132
"HAR04_2015",67.92258,-51.35603
"HAR25_2017",67.48113,-53.48425
"UCOL33_2017",67.21917,-51.77355
"WHIT01_2018",68.23125,-51.67182
"WHIT02_2018",67.76472,-52.05245
"WHIT03_2017",66.91965,-50.22443
"WHIT03_2018",66.926175,-50.20655
"WHIT07_2017",68.04745,-50.68402
"WHIT09_2018",68.4711,-52.222675
"WHIT10_2018",68.34667,-51.949
"WHIT10_2019",68.34438,-51.99368
"WHIT12_2017",67.43175,-51.80575
"WHIT12_2019",67.44185,-51.8017
"WHIT15_2017",67.43592,-52.18373
"WHIT16_2018",68.22221,-50.6807
"WHIT16_2019",68.21798,-50.68792
"WHIT17_2018",68.14502,-50.61271
"WHIT17_2019",68.1466,-50.62862
"WHIT18_2018",68.29817,-52.09835
"WHIT19_2019",67.6292,-50.95137
"WHIT20_2018",67.38378,-53.4563
"WHIT21_2018",67.70128,-53.37158
"WHIT21_2019",67.7012,-53.36774
"WHIT22_2019",67.65942,-50.66978
"WHIT25_2019",68.60138,-50.56128
